Name,Rank,Country,Childrens,Age,Industry,NetWorth,Source,Citizenship,Education,Self_made,Status,Residence
Glen Taylor,1064,United States,5,79,Service,$2.9 B,printing,United States,"Bachelor of Arts/Science, Minnesota State University",True,Married,"Mankato, Minnesota"
Glenn Dubin,1580,United States,3,63,Finance & Investments,$2 B,hedge funds,United States,"Bachelor of Arts/Science, SUNY Stony Brook",True,Married,"New York, New York"
Glenn Sanford,1750,United States,0,54,Real Estate,$1.8 B,real estate brokerage,United States,,True,Married,"Blaine, Washington"
God Nisanov,891,Russia,3,48,Real Estate,$3.4 B,real estate,Russia,"Diploma, Baku Institute of Law",True,Married,"Moscow, Russia"
Goh Cheng Liang,80,Singapore,3,93,Manufacturing,$21.7 B,paints,Singapore,,True,Widowed,"Singapore, Singapore"
Gong Hongjia & family,144,Hong Kong,2,56,Finance & Investments,$14.4 B,video surveillance,Hong Kong,"Bachelor of Arts/Science, Huazhong University of Science and Technology",True,Married,"Hong Kong, Hong Kong"
Gong Yingying,1517,China,0,36,Healthcare,$2.1 B,health IT,China,"Bachelor of Arts/Economics, London School of Economics & Political Science",True,Married,"Beijing, China"
Gopikishan Damani,404,India,2,63,Fashion & Retail,$6.5 B,"retail, investments",India,,True,Married,"Mumbai, India"
Gordon Getty,1517,United States,7,87,Energy,$2.1 B,Getty Oil,United States,"Bachelor of Arts/Science, San Francisco Conservatory of Music",False,Widowed,"San Francisco, California"
Gordon Moore,182,United States,2,92,Technology,$12.1 B,Intel,United States,"Doctorate, California Institute of Technology; Bachelor of Arts/Science, University of California, Berkeley",True,Married,"Woodside, California"
Gordon Wu,1664,Hong Kong,4,85,Real Estate,$1.9 B,real estate,Hong Kong,"Bachelor of Arts/Science, Princeton University; Master, Princeton University",True,Married,"Hong Kong, Hong Kong"
Gou Yiqun,2674,China,0,48,Food & Beverage,$1 B,restaurant,China,,True,,"Beijing, China"
Graeme Hart,274,New Zealand,2,65,Finance & Investments,$8.7 B,investments,New Zealand,,True,Married,"Auckland, New Zealand"
Greg Mondre,2263,United States,0,46,Finance & Investments,$1.3 B,private equity,United States,,True,Married,"New York, New York"
Gregorio Perez Companc & family,1299,Argentina,7,85,Energy,$2.4 B,oil & gas,Argentina,"Drop Out, High School",True,Married,"Buenos Aires, Argentina"
Gretel Packer,1362,Australia,3,55,Media & Entertainment,$2.3 B,casinos,Australia,,False,Divorced,"Sydney, Australia"
GT Dave,2674,United States,0,44,Food & Beverage,$1 B,kombucha,United States,,True,Engaged,"Beverly Hills, California"
Gu Wei,1444,China,2,56,Manufacturing,$2.2 B,consumer electronics,China,,True,Married,"Shenzhen, China"
Gu Yuhua & family,986,China,0,71,Manufacturing,$3.1 B,furniture,China,,True,Married,"Hangzhou, China"
Guan Yihong,1362,China,0,51,Food & Beverage,$2.3 B,restaurant,China,,True,Married,"Guangzhou, China"
Gudrun Heine,1008,Germany,0,66,Healthcare,$3 B,medical devices,Germany,,False,,"Ohningen, Germany"
Guenther Fielmann & family,451,Germany,2,81,Healthcare,$6 B,optometry,Germany,,True,In Relationship,"Hamburg, Germany"
Guilherme Benchimol,1205,Brazil,2,44,Finance & Investments,$2.6 B,financial services,Brazil,"Bachelor of Arts/Economics, Universidade Federal do Rio de Janeiro",True,Single,"Rio de Janeiro, Brazil"
Guilherme Peirao Leal,2141,Brazil,5,71,Fashion & Retail,$1.4 B,cosmetics,Brazil,"Bachelor of Arts/Science, Universidade de Sao Paulo",True,Divorced,"Sao Paulo, Brazil"
Guillaume Pousaz,262,Switzerland,3,39,Finance & Investments,$9 B,fintech,Switzerland,,True,Married,
Guo Guangchang,380,China,3,54,Diversified,$6.9 B,conglomerate,China,"Bachelor of Arts/Science, Fudan University; Master of Business Administration, Fudan University",True,Married,"Shanghai, China"
Guo Jiangang,1444,China,0,54,Manufacturing,$2.2 B,household appliances,China,,True,,"Foshan, China"
Guo Jianqiang,2524,China,0,53,Manufacturing,$1.1 B,Electrical appliances,China,,True,,"Foshan, China"
Guo Ziwen,2035,China,0,57,Real Estate,$1.5 B,real estate,China,,True,Married,"Hong Kong, Hong Kong"
Gustaf Douglas,369,Sweden,2,83,Diversified,$7 B,investments,Sweden,"Master of Business Administration, Harvard University",True,Married,"Stockholm, Sweden"
Gustav Magnar Witzoe,655,Norway,0,27,Food & Beverage,$4.4 B,fish farming,Norway,,False,Single,"Kverva, Norway"
Gustavo Denegri,550,Italy,2,84,Healthcare,$5.1 B,biotech,Italy,,True,Married,"torino, Italy"
Guy Laliberté,2378,Canada,5,61,Media & Entertainment,$1.2 B,Cirque du Soleil,Canada,,True,In Relationship,"Montreal, Canada"
Gwendolyn Sontheim Meyer,727,United States,2,59,Food & Beverage,$4 B,Cargill,United States,,False,Divorced,"Rancho Santa Fe, California"
H. Fisk Johnson,859,United States,1,62,Manufacturing,$3.5 B,cleaning products,United States,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",False,Divorced,"Racine, Wisconsin"
"H. Ross Perot, Jr.",1174,United States,4,62,Real Estate,$2.7 B,real estate,United States,"Bachelor of Arts/Science, Vanderbilt University",False,Married,"Dallas, Texas"
Haim Saban,1008,United States,4,76,Media & Entertainment,$3 B,"TV network, investments",United States,"Diploma, High School",True,Married,"Beverly Hills, California"
Hajime Satomi,2378,Japan,3,79,Gambling & Casinos,$1.2 B,"video games, pachinko",Japan,,True,Married,"Tokyo, Japan"
Hakan Koc,2378,Germany,0,36,Automotive,$1.2 B,online car sales,Germany,"Bachelor of Law, Bucerius Law School",True,,"Berlin, Germany"
Hal Jackman,1205,Canada,5,88,Finance & Investments,$2.6 B,"insurance, investments",Canada,,True,Married,"Toronto, Canada"
Hamad bin Jassim bin Jaber Al Thani,2263,Qatar,0,61,Finance & Investments,$1.3 B,investments,Qatar,,False,Married,"Doha, Qatar"
Hamdi Akin & family,2035,Turkey,3,66,Diversified,$1.5 B,diversified,Turkey,,True,Divorced,"Istanbul, Turkey"
Hamdi Ulukaya,1580,Turkey,0,48,Food & Beverage,$2 B,greek yogurt,Turkey,,True,Married,"Norwich, New York"
Hamilton James,1664,United States,3,69,Finance & Investments,$1.9 B,investments,United States,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University",True,Married,"New York, New York"
Hang Hong,2674,China,0,53,Manufacturing,$1 B,machinery,China,,True,Married,"Wuxi, China"
Hank & Doug Meijer,171,United States,0,66,Fashion & Retail,$12.6 B,supermarkets,United States,,False,,"Grand Rapids, Michigan"
Hans Georg Naeder,775,Germany,2,59,Manufacturing,$3.8 B,prosthetics,Germany,,False,Divorced,"Duderstadt, Germany"
Hans Langer,1249,Germany,2,69,Manufacturing,$2.5 B,3D printing,Germany,,True,Married,Germany
Hans Melchers,1111,Netherlands,2,82,Finance & Investments,$2.8 B,"chemicals, investments",Netherlands,,True,Married,"Vorden, Netherlands"
Hans Peter Wild,925,Switzerland,2,79,Food & Beverage,$3.3 B,flavorings,Switzerland,,False,Divorced,"Zug, Switzerland"
Hans Sy,1008,Philippines,4,65,Diversified,$3 B,diversified,Philippines,"Bachelor of Science, De La Salle University",False,Married,"Manila, Philippines"
Hans-Werner Hector,1249,Germany,0,81,Technology,$2.5 B,SAP,Germany,"Master of Science, University of Saarland",True,Married,"Weinheim, Germany"
Hansjoerg Wyss,451,Switzerland,1,86,Healthcare,$6 B,medical devices,Switzerland,"Master of Business Administration, Harvard University; Master of Science, Swiss Federal Institute of Technology",True,Divorced,"Wilson, Wyoming"
Hao Hong,986,United States,0,65,Healthcare,$3.1 B,pharmaceuticals,United States,,True,,"Tianjin, China"
Harald Link,986,Thailand,2,66,Diversified,$3.1 B,diversified,Thailand,,False,Married,"Bangkok, Thailand"
Harindarpal Banga,2035,India,2,70,Finance & Investments,$1.5 B,commodities,India,,True,Married,"Hong Kong, Hong Kong"
Harley Sy,1174,Philippines,0,61,Diversified,$2.7 B,diversified,Philippines,"Bachelor of Science, De La Salle University",False,Married,"Manila, Philippines"
Harold Hamm & family,247,United States,5,75,Energy,$9.4 B,oil & gas,United States,"Diploma, High School",True,Divorced,"Oklahoma City, Oklahoma"
Harry Stine,520,United States,4,79,Food & Beverage,$5.4 B,agriculture,United States,,True,Married,"Adel, Iowa"
Harry Triguboff,195,Australia,2,88,Real Estate,$11.2 B,real estate,Australia,"Bachelor of Arts/Science, University of Leeds",True,Married,"Sydney, Australia"
Harsh Goenka,1362,India,2,63,Diversified,$2.3 B,diversified,India,"Bachelor of Arts/Science, Calcutta University; Master of Business Administration, International Institute for Management and Development",False,Married,"Mumbai, India"
Harsh Mariwala,1249,India,2,69,Food & Beverage,$2.5 B,consumer goods,India,"Bachelor of Arts/Science, Bombay University",False,Married,"Mumbai, India"
Hartley Rogers,2674,United States,3,61,Finance & Investments,$1 B,asset management,United States,,True,Married,"Chicago, Illinois"
Hary Tanoesoedibjo,2524,Indonesia,5,55,Media & Entertainment,$1.1 B,media,Indonesia,,True,Married,"Jakarta, Indonesia"
Hasmukh Chudgar & family,502,India,3,87,Healthcare,$5.5 B,pharmaceuticals,India,,True,Married,"Ahmedabad, India"
Hasso Plattner & family,297,Germany,2,77,Technology,$8.3 B,software,Germany,"Master of Science, University of Karlsruhe",True,Married,"Heidelberg, Germany"
He Ningning,2141,China,0,50,Manufacturing,$1.4 B,electronic components,China,,True,,"Shenzhen, China"
He Xiangjian,37,China,3,78,Manufacturing,$37.7 B,home appliances,China,,True,Married,"Foshan, China"
He Xiaopeng,502,China,0,43,Automotive,$5.5 B,electric vehicles,China,,True,,"Guangzhou, China"
He Xinming family,1750,China,0,65,Manufacturing,$1.8 B,ceramic,,,,,
He Yamin & family,2141,China,0,64,Manufacturing,$1.4 B,manufacturing,China,,True,,"Chengdu, China"
He Zhaoxi,956,China,0,47,Technology,$3.2 B,software,China,"Bachelor of Engineering, Huazhong University of Science and Technology",True,Married,"Shenzhen, China"
Hedda im Brahm-Droege,2524,Germany,0,66,Finance & Investments,$1.1 B,investments,Germany,,True,Married,"Dusseldorf, Germany"
Heidi Horten,956,Austria,0,80,Fashion & Retail,$3.2 B,retail,Austria,,False,"Widowed, Remarried","Vienna, Austria"
Heikki Herlin,1931,Finland,0,34,Manufacturing,$1.6 B,"elevators, escalators",Finland,,False,Single,"Helsinki, Finland"
Heikki Kyostila,2035,Finland,0,75,Healthcare,$1.5 B,dental products,Finland,,True,,"Helsinki, Finland"
Helen Johnson-Leipold,831,United States,5,64,Manufacturing,$3.6 B,cleaning products,United States,"Bachelor of Arts/Science, Cornell University",False,Married,"Racine, Wisconsin"
Helena Revoredo,2035,Spain,4,74,Service,$1.5 B,security services,Spain,"Bachelor of Arts/Science, Catholic University of Buenos Aires; Master of Business Administration, IESE Business School",False,Widowed,"Madrid, Spain"
Helmut Sohmen,1205,Austria,3,81,Logistics,$2.6 B,shipping,Austria,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, University of Vienna",False,Married,"Hong Kong, Hong Kong"
Heloise Pratt,1111,Australia,3,58,Manufacturing,$2.8 B,"manufacturing, investment",Australia,,False,Separated,"Melbourne, Australia"
Hemendra Kothari,2263,India,2,74,Finance & Investments,$1.3 B,Financial Services,India,"Bachelor of Arts/Economics, Bombay University",False,Widowed,"Mumbai, India"
Henadiy Boholyubov,1833,Ukraine,5,59,Diversified,$1.7 B,"banking, investments",Ukraine,,True,Married,"Dnipro, Ukraine"
Henri Beaufour,1580,France,0,55,Healthcare,$2 B,pharmaceuticals,France,,False,Married,"London, United Kingdom"
Henrik Fisker,1931,United States,0,57,Automotive,$1.6 B,★,United States,"Bachelor of Arts/Science, Art Center College of Design",True,,"Los Angeles, California"
Henry Cheng,2378,Hong Kong,4,74,Diversified,$1.2 B,diversified,Hong Kong,"Bachelor of Arts/Science, The University of Western Ontario - Richard Ivey School of Business; Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business",False,Married,"Hong Kong, Hong Kong"
Henry Davis,2524,United States,0,70,Food & Beverage,$1.1 B,beef processing,United States,"Bachelor of Arts/Science, University of Denver",False,Divorced,"Omaha, Nebraska"
Henry Engelhardt,1833,United States,4,63,Finance & Investments,$1.7 B,insurance,United States,"Master of Business Administration, INSEAD; Bachelor of Arts/Science, University of Michigan",True,Married,"Cardiff, United Kingdom"
Henry Kravis,344,United States,2,77,Finance & Investments,$7.3 B,private equity,United States,"Bachelor of Arts/Science, Claremont McKenna College; Master of Business Administration, Columbia Business School",True,Married,"New York, New York"
Henry Laufer,1517,United States,0,75,Finance & Investments,$2.1 B,hedge funds,United States,"Bachelor of Arts/Science, City College of New York; Doctorate, Princeton University",True,Married,"Lake Worth, Florida"
"Henry Nicholas, III.",520,United States,3,61,Technology,$5.4 B,semiconductors,United States,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",True,Divorced,"Newport Coast, California"
Henry Samueli,440,United States,3,66,Technology,$6.1 B,semiconductors,United States,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",True,Married,"Newport Beach, California"
Henry Swieca,1750,United States,4,63,Finance & Investments,$1.8 B,hedge funds,United States,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, SUNY Stony Brook",True,Married,"New York, New York"
