Name,Rank,Country,Childrens,Age,Industry,NetWorth,Source,Citizenship,Education,Self_made,Status,Residence
Manas Chiaravanond,2035,Thailand,0,,Diversified,$1.5 B,diversified,Thailand,,False,,"Bangkok, Thailand"
Manfredi Lefebvre d'Ovidio,2524,Italy,1,67,Service,$1.1 B,cruises,Italy,"Drop Out, La Sapienza University of Rome",False,Divorced,"Monte Carlo, Monaco"
Mangal Prabhat Lodha,2263,India,2,65,Real Estate,$1.3 B,real estate,India,,True,Married,"Mumbai, India"
Manny Stul,2674,Australia,2,71,Manufacturing,$1 B,toys,Australia,"High School Graduate, High School",True,Married,"Melbourne, Australia"
Manuel Lao Hernandez,1931,Spain,3,76,Gambling & Casinos,$1.6 B,casinos,Spain,,True,Married,"Matadepera, Spain"
Manuel Villar,352,Philippines,3,71,Real Estate,$7.2 B,real estate,Philippines,,True,Married,"Manila, Philippines"
Mao Huihua,2674,Canada,0,59,Healthcare,$1 B,pharmaceuticals,Canada,,True,,"Tianjin, China"
Mao Lixiang & family,1931,China,0,80,Technology,$1.6 B,cooking appliances,China,,True,,"Ningbo, China"
Mao Zhongwu,1444,China,0,58,Manufacturing,$2.2 B,manufacturing,China,"Bachelor of Arts/Science, National University of Singapore",True,Married,"Changsha, China"
Marc Andreessen,1833,United States,1,49,Finance & Investments,$1.7 B,venture capital investing,United States,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",True,Married,"Atherton, California"
Marc Benioff,294,United States,2,56,Technology,$8.4 B,business software,United States,"Bachelor of Arts/Science, University of Southern California",True,Married,"San Francisco, California"
Marc Ladreit de Lacharriere,574,France,4,80,Finance & Investments,$4.9 B,finance,France,,True,Divorced,"Paris, France"
Marc Lasry,1750,United States,5,60,Finance & Investments,$1.8 B,hedge funds,United States,"Bachelor of Arts/Science, Clark University; Doctor of Jurisprudence, New York Law School",True,Married,"New York, New York"
Marc Rowan,727,United States,0,58,Finance & Investments,$4 B,private equity,United States,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",True,Married,"New York, New York"
Marc Samwer,2378,Germany,2,50,Technology,$1.2 B,tech investments,Germany,"LLM, University of Cologne",True,Married,"Munich, Germany"
Marcel Erni,1064,Switzerland,0,56,Finance & Investments,$2.9 B,private equity,Switzerland,,True,,"Zug, Switzerland"
Marcel Herrmann Telles,191,Brazil,2,71,Food & Beverage,$11.5 B,beer,Brazil,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro",True,Married,"Sao Paulo, Brazil"
Marco Squinzi,2674,Italy,0,49,Construction & Engineering,$1 B,chemical products,Italy,,False,,"Milan, Italy"
Marcos Galperin,440,Argentina,0,,Technology,$6.1 B,e-commerce,Argentina,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True,,"Buenos Aires, Argentina"
Marek Dospiva,2378,Czechia,0,51,Finance & Investments,$1.2 B,investments,Czechia,,True,Divorced,"Prague, Czechia"
Maren Otto,775,Germany,0,,Diversified,$3.8 B,"retail, real estate",Germany,,False,Widowed,"Berlin, Germany"
Margaretta Taylor,432,United States,0,78,Media & Entertainment,$6.2 B,"media, automotive",United States,,False,,"Southampton, New York"
Margarita Louis-Dreyfus & family,891,Switzerland,3,58,Food & Beverage,$3.4 B,commodities,Switzerland,,False,Widowed,"Davos, Switzerland"
Margot Birmingham Perot,705,United States,5,87,Technology,$4.1 B,"computer services, real estate",United States,"Bachelor of Arts/Science, Goucher College",False,Widowed,"Dallas, Texas"
Maria Asuncion Aramburuzabala & family,476,Mexico,2,57,Food & Beverage,$5.8 B,"beer, investments",Mexico,"Bachelor of Arts/Science, Instituto Tecnológico Autónomo de México",False,Divorced,"Mexico City, Mexico"
Maria Del Pino,1362,Spain,3,65,Construction & Engineering,$2.3 B,construction,Spain,"Bachelor of Arts/Science, IESE Business School",False,Married,"Madrid, Spain"
Maria Fernanda Amorim & family,608,Portugal,3,86,Diversified,$4.7 B,"energy, investments",Portugal,,False,Widowed,"Grijo, Portugal"
Maria Franca Fissolo,1444,Italy,2,86,Food & Beverage,$2.2 B,"Nutella, chocolates",Italy,,False,Widowed,"Monaco, Monaco"
Maria Helena Moraes Scripilliti,1664,Brazil,4,90,Diversified,$1.9 B,diversified,Brazil,"High School Graduate, High School",False,Widowed,"Sao Paulo, Brazil"
Maria Pinheiro,2674,Brazil,0,,Fashion & Retail,$1 B,supermarkets,Brazil,,True,Divorced,"Balsas, Brazil"
Maria-Elisabeth Schaeffler-Thumann,807,Germany,0,79,Automotive,$3.7 B,auto parts,Germany,,False,Married,"Herzogenaurach, Germany"
Marian Ilitch,807,United States,7,88,Food & Beverage,$3.7 B,Little Caesars,United States,"Diploma, High School; High School Graduate, High School",True,Widowed,"Bingham Farms, Michigan"
Marianne Liebmann,831,United States,2,67,Food & Beverage,$3.6 B,Cargill,United States,"Bachelor of Arts/Science, Montana State University",False,Married,"Bozeman, Montana"
Marie Besnier Beauvalot,391,France,0,40,Food & Beverage,$6.7 B,cheese,France,,False,Married,"Laval, France"
Marie-Hélène Habert,344,France,0,56,Diversified,$7.3 B,diversified,France,"Master, Sciences Po",False,Married,"Paris, France"
Marijke Mars,316,United States,0,56,Food & Beverage,$7.8 B,"candy, pet food",United States,"Bachelor of Arts/Science, Duke University",False,Divorced,"Los Angeles, California"
Marina Caprotti,1833,Italy,0,43,Food & Beverage,$1.7 B,supermarkets,Italy,,False,,"Milan, Italy"
Marina Prada,1580,Italy,0,75,Fashion & Retail,$2 B,luxury goods,Italy,,False,,"Milan, Italy"
Mario Gabelli,1750,United States,4,79,Finance & Investments,$1.8 B,money management,United States,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Fordham University",True,Married,"Greenwich, Connecticut"
Mario Germano Giuliani,1362,Switzerland,0,49,Healthcare,$2.3 B,pharmaceuticals,Switzerland,"Bachelor of Arts/Economics, Catholic University of the Sacred Heart",False,Married,"Monaco, Monaco"
Mario Moretti Polegato & family,1931,Italy,1,68,Fashion & Retail,$1.6 B,shoes,Italy,,True,Married,"Crocetta del Montello, Italy"
Maritsa Lazari & family,1064,United Kingdom,3,76,Real Estate,$2.9 B,real estate,United Kingdom,,True,Widowed,"London, United Kingdom"
Marius Nacht,2035,Israel,0,55,Technology,$1.5 B,software,Israel,"Bachelor of Arts/Science, Hebrew University, Jerusalem",True,Married,"Tel Aviv, Israel"
Mark & Robyn Jones,1249,United States,6,,Finance & Investments,$2.5 B,insurance,United States,,True,Married,"Westlake, Texas"
Mark Coombs,1299,United Kingdom,0,60,Finance & Investments,$2.4 B,finance,United Kingdom,,True,,"London, United Kingdom"
Mark Cuban,655,United States,3,62,Media & Entertainment,$4.4 B,"online media, Dallas Mavericks",United States,"Bachelor of Arts/Science, Indiana University",True,Married,"Dallas, Texas"
Mark Dixon,1664,United Kingdom,5,61,Real Estate,$1.9 B,office real estate,United Kingdom,,True,Divorced,"Monaco, Monaco"
Mark Haoyong Yang,2674,China,0,46,Technology,$1 B,e-commerce,China,,True,,"Beijing, China"
Mark Leonard & family,1517,Canada,0,64,Technology,$2.1 B,software,Canada,"Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business; Bachelor of Arts/Science, University of Guelph",True,,"Toronto, Canada"
Mark Pincus,2035,United States,3,55,Technology,$1.5 B,online games,United States,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania",True,Divorced,"San Francisco, California"
Mark Scheinberg,574,Canada,0,47,Gambling & Casinos,$4.9 B,online gambling,Canada,"Drop Out, Fanshawe College",True,Single,"Isle of Man, United Kingdom"
Mark Shoen,752,United States,1,70,Automotive,$3.9 B,U-Haul,United States,,False,Married,"Phoenix, Arizona"
Mark Stevens,807,United States,3,61,Finance & Investments,$3.7 B,venture capital,United States,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",True,Married,"Steamboat Springs, Colorado"
Mark Walter,608,United States,1,60,Finance & Investments,$4.7 B,finance,United States,"Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University",True,Married,"Chicago, Illinois"
Mark Zuckerberg,5,United States,2,36,Technology,$97 B,Facebook,United States,"Drop Out, Harvard University",True,Married,"Palo Alto, California"
Markus Blocher,1249,Switzerland,7,50,Manufacturing,$2.5 B,chemicals,Switzerland,,False,,"Wilen bei Wollerau, Switzerland"
Markus Persson,1833,Sweden,0,41,Media & Entertainment,$1.7 B,computer games,Sweden,,True,Single,"Stockholm, Sweden"
Martha Ingram & family,859,United States,4,85,Media & Entertainment,$3.5 B,"book distribution, transportation",United States,"Bachelor of Arts/Science, Vassar College",False,Widowed,"Nashville, Tennessee"
Martha MacMillan,2524,United States,5,69,Food & Beverage,$1.1 B,Cargill,United States,,False,Divorced,"Orono, Minnesota"
Martin & Olivier Bouygues,622,France,0,,Construction & Engineering,$4.6 B,"construction, media",France,,False,,"Paris, France"
Martin Ebner,986,Switzerland,0,75,Finance & Investments,$3.1 B,investments,Switzerland,"Doctorate, University of Florida; Bachelor of Arts/Science, University of Zurich",True,Married,"Wilen, Switzerland"
Martin Haefner,705,Switzerland,0,67,Technology,$4.1 B,"software, investments",Switzerland,,False,Married,"Zurich, Switzerland"
Martin Knauf,2524,Germany,0,,Manufacturing,$1.1 B,building materials,Germany,,False,,"Berlin, Germany"
Martin Lau,680,Hong Kong,0,48,Technology,$4.2 B,e-commerce,Hong Kong,"Master of Business Administration, Kellogg School of Management; Master of Science in Engineering, Stanford University; Bachelor of Science in Engineering, University of Michigan",True,,"Hong Kong, Hong Kong"
Martin Lorentzon,451,Sweden,0,52,Technology,$6 B,Spotify,Sweden,,True,Single,"Stockholm, Sweden"
Martin Moller Nielsen,2263,Denmark,0,56,Logistics,$1.3 B,aircraft leasing,Denmark,,True,Single,"London, United Kingdom"
Martin Selig,2141,United States,3,83,Real Estate,$1.4 B,real estate,United States,"Bachelor of Arts/Science, University of Washington",True,Married,"Seattle, Washington"
Martin Viessmann,1750,Germany,2,67,Manufacturing,$1.8 B,heating and cooling equipment,Germany,"Diploma, University of Erlangen",False,Married,"Allendorf, Germany"
Martua Sitorus,1580,Indonesia,4,61,Manufacturing,$2 B,palm oil,Indonesia,,True,Married,"Singapore, Singapore"
Mary Alice Dorrance Malone,807,United States,2,71,Food & Beverage,$3.7 B,Campbell Soup,United States,"Bachelor of Arts/Science, University of Arizona",False,Divorced,"Coatesville, Pennsylvania"
Masaaki Arai,1580,Japan,0,55,Real Estate,$2 B,home sales,Japan,,True,,"Tokyo, Japan"
Masahiro Miki,752,Japan,0,65,Fashion & Retail,$3.9 B,shoes,Japan,"Bachelor of Arts/Science, Toho Gakuen tanki University",True,Married,"Tokyo, Japan"
Masahiro Noda,727,Japan,0,82,Technology,$4 B,software,Japan,"Bachelor of Arts/Economics, Kansai University",True,Married,"Tokyo, Japan"
Masanori Kobayashi,2378,Japan,0,47,Fashion & Retail,$1.2 B,cosmetics,Japan,,False,,"Tokyo, Japan"
Masaru Wasami,2263,Japan,0,75,Logistics,$1.3 B,logistics,Japan,,True,,Japan
Masateru Uno & family,1111,Japan,0,74,Fashion & Retail,$2.8 B,drugstores,Japan,,True,,"Fukuoka, Japan"
Masatoshi Ito,727,Japan,3,96,Fashion & Retail,$4 B,retail,Japan,,True,Married,"Tokyo, Japan"
Masatoshi Kumagai,2674,Japan,1,57,Technology,$1 B,internet services,Japan,"Drop Out, Osgoode Hall Law School",True,Married,"Tokyo, Japan"
Masayoshi Son,29,Japan,2,63,Telecom,$45.4 B,"internet, telecom",Japan,"Bachelor of Arts/Science, University of California, Berkeley",True,Married,"Tokyo, Japan"
Massimiliana Landini Aleotti & family,256,Italy,2,78,Healthcare,$9.1 B,pharmaceuticals,Italy,,False,Widowed,"Fiesole (FI), Italy"
Massimo Moratti,1931,Italy,5,75,Energy,$1.6 B,oil refinery,Italy,,False,Married,"Milan, Italy"
Mat Ishbia,234,United States,3,41,Finance & Investments,$9.7 B,★,United States,"Bachelor of Business Administration, Michigan State University",False,Divorced,"Bloomfield Hills, Michigan"
Mathias Doepfner,2378,Germany,0,58,Media & Entertainment,$1.2 B,Media,Germany,,False,,
Mathias Kamprad,2378,Sweden,2,51,Finance & Investments,$1.2 B,IKEA,Sweden,,False,Divorced,"London, United Kingdom"
Mats Paulsson & family,2524,Sweden,0,76,Construction & Engineering,$1.1 B,construction,Sweden,,True,Married,"Båstad, Sweden"
Matt Moulding,1064,United Kingdom,0,49,Fashion & Retail,$2.9 B,e-commerce,United Kingdom,"Bachelor of Arts/Economics, Nottingham University",True,,"Cheshire, United Kingdom"
Matthew Calkins,705,United States,2,48,Technology,$4.1 B,software,United States,"Bachelor of Arts/Economics, Dartmouth College",True,Divorced,"Rosslyn, Virginia"
Matthew Prince,1249,United States,0,46,Technology,$2.5 B,cybersecurity,United States,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Trinity College Connecticut; Doctor of Jurisprudence, University of Chicago",True,Married,"Park City, Utah"
Matthew Roszak,2035,United States,0,48,Finance & Investments,$1.5 B,cryptocurrency,United States,"Bachelor of Arts/Economics, Lake Forest College",True,Married,"Chicago, Illinois"
Matthias Reimann-Andersen,775,Germany,0,56,Fashion & Retail,$3.8 B,consumer goods,Germany,,False,,"Munich, Germany"
Matthias Reinhart,1249,Switzerland,0,61,Finance & Investments,$2.5 B,finance,Switzerland,,True,,"Zurich, Switzerland"
Maurizio Billi,2141,Brazil,0,63,Healthcare,$1.4 B,generic drugs,Brazil,,False,Married,"Sao Paulo, Brazil"
Max Levchin,1444,United States,2,45,Finance & Investments,$2.2 B,fintech,United States,"Bachelor of Science, University of Illinois Urbana Champaign",True,Married,"San Francisco, California"
Maximilian Viessmann,752,Germany,0,,Manufacturing,$3.9 B,heating and cooling equipment,Germany,,False,,
Meg Whitman,476,United States,2,64,Technology,$5.8 B,eBay,United States,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Princeton University",True,Married,"Los Angeles, California"
Megdet Rahimkulov & family,1833,Russia,3,75,Finance & Investments,$1.7 B,investments,Russia,"Bachelor of Arts/Science, State University of Management",True,Married,"Moscow, Russia"
Mehmet Aydinlar,2263,Turkey,1,64,Healthcare,$1.3 B,hospitals,Turkey,,True,Married,"Istanbul, Turkey"
Mehmet Nazif Gunal,2378,Turkey,3,73,Diversified,$1.2 B,"tourism, construction",Turkey,,True,Married,"Istanbul, Turkey"
Mehmet Sinan Tara,2524,Turkey,3,62,Construction & Engineering,$1.1 B,construction,Turkey,"Master of Business Administration, Stanford University",False,Married,"Istanbul, Turkey"
Melissa Ma,727,China,0,51,Technology,$4 B,internet search,China,,True,Married,"Beijing, China"
Melker Schorling & family,213,Sweden,2,73,Finance & Investments,$10.5 B,investments,Sweden,"Master of Business Administration, Gothenburg University",True,Married,"Stockholm, Sweden"
Mi Enhua,1444,China,0,63,Fashion & Retail,$2.2 B,retail,China,,True,Married,"Urumqi, China"
Miao Hangen,638,China,0,56,Diversified,$4.5 B,"textiles, petrochemicals",China,,True,,"Suzhou, China"
Miao Shouliang,1750,China,1,66,Real Estate,$1.8 B,real estate,China,,True,Married,"Shenzhen, China"
Miao Yongjun,1580,China,0,53,Healthcare,$2 B,clinical diagnostics,China,,True,,"Zhengzhou, China"
Michael Ashcroft,1517,United Kingdom,0,75,Finance & Investments,$2.1 B,security,United Kingdom,,True,,"Turks and Caicos Islands, Turks and Caicos Islands"
Michael Ashley,1299,United Kingdom,0,56,Fashion & Retail,$2.4 B,sports retailing,United Kingdom,,True,Divorced,"Hertfordshire, United Kingdom"
Michael Bloomberg,20,United States,2,79,Media & Entertainment,$59 B,Bloomberg LP,United States,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",True,In Relationship,"New York, New York"
Michael Dell,30,United States,4,56,Technology,$45.1 B,Dell computers,United States,"Drop Out, The University of Texas at Austin",True,Married,"Austin, Texas"
Michael Federmann & family,1517,Israel,3,77,Technology,$2.1 B,"defense, hotels",Israel,,True,Married,"Tel Aviv, Israel"
Michael Hartono,89,Indonesia,4,81,Manufacturing,$19.7 B,"banking, tobacco",Indonesia,,False,Married,"Kudus, Indonesia"
Michael Heine,2263,Australia,2,71,Finance & Investments,$1.3 B,financial services,Australia,,True,,"Melbourne, Australia"
Michael Herz,550,Germany,0,77,Fashion & Retail,$5.1 B,coffee,Germany,,False,Married,"Hamburg, Germany"
Michael Hintze,1362,Australia,4,67,Finance & Investments,$2.3 B,investment,Australia,"Master of Business Administration, Harvard Business School; Master of Science, University of New South Wales; Bachelor of Arts/Science, University of Sydney",True,Married,"London, United Kingdom"
Michael Jordan,1931,United States,5,58,Sports,$1.6 B,"Charlotte Hornets, endorsements",United States,"Bachelor of Arts/Science, University of North Carolina, Chapel Hill",True,Married,"Jupiter, Florida"
Michael Kadoorie,352,Hong Kong,3,79,Energy,$7.2 B,"hotels, energy",Hong Kong,,False,Married,"Hong Kong, Hong Kong"
Michael Kim,1664,United States,2,57,Finance & Investments,$1.9 B,private equity,United States,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Haverford College",True,Married,"Seoul, South Korea"
Michael Krasny,2263,United States,1,67,Technology,$1.3 B,retail,United States,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",True,Married,"Highland Park, Illinois"
Michael Lee-Chin,1931,Canada,5,70,Finance & Investments,$1.6 B,mutual funds,Canada,"Bachelor of Arts/Science, McMaster University",True,Divorced,"Burlington, Canada"
Michael McCain,2674,Canada,0,,Food & Beverage,$1 B,packaged meats,,,,,
Michael Milken,807,United States,3,74,Finance & Investments,$3.7 B,investments,United States,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School",True,Married,"Los Angeles, California"
Michael Minhong Yu,655,China,2,59,Service,$4.4 B,education,China,"Bachelor of Arts/Science, Peking University",True,Married,"Beijing, China"
Michael Moritz,486,United States,2,66,Technology,$5.7 B,venture capital,United States,"Bachelor of Arts/Science, Christ Church, Oxford University; Master of Business Administration, University of Pennsylvania, The Wharton School",True,Married,"San Francisco, California"
Michael Otto,264,Germany,2,77,Fashion & Retail,$8.9 B,"retail, real estate",Germany,"Doctorate, University of Hamburg; Doctorate, University of Munich",False,Married,"Hamburg, Germany"
Michael Pieper,608,Switzerland,2,75,Manufacturing,$4.7 B,kitchen appliances,Switzerland,"Master of Business Administration, St Gallen University",True,Married,"Lucerne, Switzerland"
Michael Platt,164,United Kingdom,0,53,Finance & Investments,$13 B,hedge funds,United Kingdom,"Bachelor of Arts/Science, London School of Economics; Bachelor of Arts/Science, London School of Economics",True,,"Geneva, Switzerland"
Michael Polsky,2035,United States,4,72,Energy,$1.5 B,Electric power,United States,"Master of Business Administration, University of Chicago Booth School of Business",True,Married,"Chicago, Illinois"
Michael Price,2378,United States,4,68,Finance & Investments,$1.2 B,investments,United States,"Bachelor of Arts/Science, University of Oklahoma",False,Married,"Far Hills, New Jersey"
Michael Rubin,859,United States,1,48,Fashion & Retail,$3.5 B,online retail,United States,"Drop Out, Villanova University",True,Divorced,"Bryn Mawr, Pennsylvania"
Michael S. Smith,2524,United States,2,65,Energy,$1.1 B,liquefied natural gas,United States,"Drop Out, University of Colorado",True,Married,"Miami Beach, Florida"
Michael Saylor,1362,United States,0,56,Technology,$2.3 B,cryptocurrency,United States,"Bachelor of Arts/Science, Massachusetts Institute of Technology",True,Single,"Vienna, Virginia"
Michael Spencer,2141,United Kingdom,3,65,Finance & Investments,$1.4 B,stock exchange,United Kingdom,"Bachelor of Arts/Science, Oxford University",True,Married,"London, Suffolk, United Kingdom"
Michael Steinhardt,2378,United States,0,80,Finance & Investments,$1.2 B,hedge funds,United States,University of Pennsylvania,True,Married,"Mount Kisco, New York"
Michael Tojner,831,Austria,0,55,Manufacturing,$3.6 B,"batteries, investments",Austria,"Master of Business Administration, University of Vienna; Master of Laws, University of Vienna",True,,"Vienna, Austria"
Michael Xie,1517,United States,0,52,Technology,$2.1 B,cybersecurity,United States,"Master of Science, Tsinghua University; Master of Science, University of Manitoba",True,Married,"Los Altos Hills, California"
Michael Ying,1299,Hong Kong,3,71,Fashion & Retail,$2.4 B,retail,Hong Kong,,True,Married,"Hong Kong, Hong Kong"
Michaela Herz,2141,Germany,0,,Finance & Investments,$1.4 B,coffee,Germany,,False,,
Michal Solowow,727,Poland,3,58,Finance & Investments,$4 B,investments,Poland,,True,Married,"Kielce, Poland"
Michel Leclercq & family,486,France,4,81,Fashion & Retail,$5.7 B,sporting goods,France,,False,Married,"Lille, France"
Michiel Le Roux,2524,South Africa,0,71,Finance & Investments,$1.1 B,banking,South Africa,,True,Married,"Stellenbosch, South Africa"
Micky Arison,391,United States,2,71,Service,$6.7 B,Carnival Cruises,United States,"Drop Out, University of Miami",False,Married,"Bal Harbour, Florida"
Micky Jagtiani,1111,India,3,69,Fashion & Retail,$2.8 B,retail,India,,False,Married,"Dubai, United Arab Emirates"
Miguel Fluxa Rossello,1931,Spain,2,82,Service,$1.6 B,hotels,Spain,,False,Married,"Esporles, Spain"
Miguel Krigsner,1444,Brazil,2,71,Fashion & Retail,$2.2 B,cosmetics,Brazil,,True,Married,"Sao Jose dos Pinhais, Brazil"
Mika Anttonen,2263,Finland,0,54,Energy,$1.3 B,oil & gas,Finland,,True,Married,"Helsinki, Finland"
Mike Adenuga,440,Nigeria,7,67,Diversified,$6.1 B,"telecom, oil",Nigeria,"Master of Business Administration, Pace University",True,Married,"Lagos, Nigeria"
Mike Cannon-Brookes,145,Australia,2,41,Technology,$14.2 B,software,Australia,"Bachelor of Arts/Science, University of New South Wales",True,Married,"Sydney, Australia"
Mike Speiser,2378,United States,0,50,Technology,$1.2 B,software,United States,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Arizona",True,Single,"San Francisco, California"
Mikhail Fridman,128,Russia,5,56,Energy,$15.5 B,"oil, banking, telecom",Russia,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys",True,Divorced,"London, United Kingdom"
Mikhail Gutseriev,1249,Russia,2,63,Energy,$2.5 B,"oil, real estate",Russia,"Bachelor of Arts/Science, Kazakh Technological Institute",True,Married,"Moscow, Russia"
Mikhail Lomtadze,956,Georgia,0,45,Finance & Investments,$3.2 B,fintech,Georgia,"Master of Business Administration, Harvard Business School",True,Single,"Almaty, Kazakhstan"
Mikhail Prokhorov,193,Russia,0,55,Finance & Investments,$11.4 B,investments,Russia,"Bachelor of Arts/Science, Moscow Institute of Finance",True,Single,"Moscow, Russia"
Mikhail Shelkov,1580,Russia,0,52,Metals & Mining,$2 B,titanium,Russia,"Master of Science, Moscow Institute of Physics and Technology",True,,"Moscow, Russia"
Milane Frantz,451,United States,0,51,Energy,$6 B,pipelines,United States,"Master of Arts, University of Houston",False,Married,"Houston, Texas"
Mimi Haas,2141,United States,0,74,Fashion & Retail,$1.4 B,Levi's jeans,United States,"Bachelor of Arts/Science, George Washington University",False,Widowed,"San Francisco, California"
Min Kao & family,638,United States,2,72,Technology,$4.5 B,navigation equipment,United States,"Bachelor of Arts/Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville",True,Married,"Leawood, Kansas"
Ming Hsieh,2524,United States,2,65,Healthcare,$1.1 B,Fulgent Genetics,United States,"Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",True,Married,"Los Angeles, California"
Miriam Adelson,36,United States,5,75,Gambling & Casinos,$38.2 B,casinos,United States,"Bachelor of Science, Hebrew University Jerusalem",False,Widowed,"Las Vegas, Nevada"
Miriam Baumann-Blocher,1174,Switzerland,0,46,Manufacturing,$2.7 B,chemicals,Switzerland,,False,,"Rheinfelden, Switzerland"
Mitchell Goldhar,1174,Canada,0,59,Real Estate,$2.7 B,real estate,Canada,"Bachelor of Arts/Science, York University",True,Single,"North York, Canada"
Mitchell Jacobson,2524,United States,0,70,Service,$1.1 B,industrial equipment,United States,"Bachelor of Arts/Science, Brandeis University; Law Degree, New York University",False,Married,"Locust Valley, New York"
Mitchell Rales,432,United States,2,64,Manufacturing,$6.2 B,"manufacturing, investments",United States,"Bachelor of Arts/Science, Miami University of Ohio",True,Married,"Potomac, Maryland"
Miuccia Prada,622,Italy,2,71,Fashion & Retail,$4.6 B,luxury goods,Italy,"Doctorate, University of Milan; Doctorate in Pedagogical Sciences, University of Milan",False,Married,"Milan, Italy"
Mochtar Riady & family,1833,Indonesia,6,91,Diversified,$1.7 B,diversified,Indonesia,,True,Married,"Jakarta, Indonesia"
Mofatraj Munot,2674,India,3,76,Real Estate,$1 B,real estate,India,,True,Widowed,"Mumbai, India"
Mohamed Al Fayed,1750,Egypt,5,92,Fashion & Retail,$1.8 B,"retail, investments",Egypt,,True,Married,"London, United Kingdom"
Mohamed Mansour,1249,Egypt,2,73,Diversified,$2.5 B,diversified,Egypt,"Master of Business Administration, Auburn University",True,Married,"Cairo, Egypt"
Mohammed Dewji,1931,Tanzania,3,45,Diversified,$1.6 B,diversified,Tanzania,,False,Married,"Dar es Salaam, Tanzania"
Mohammed Ibrahim,2524,United Kingdom,2,74,Telecom,$1.1 B,communications,United Kingdom,"Bachelor of Arts/Science, University of Alexandria; Ph.D, University of Birmingham; Master, University of Bradford",True,Married,"London, United Kingdom"
Mohed Altrad,891,France,5,73,Construction & Engineering,$3.4 B,"scaffolding, cement mixers",France,,True,In Relationship,"Montpellier, France"
Mong-Koo Chung,451,South Korea,4,83,Automotive,$6 B,Hyundai,South Korea,"Bachelor of Arts/Science, Hanyang University",False,Married,"Seoul, South Korea"
Montri Jiaravanont,520,Thailand,0,90,Diversified,$5.4 B,diversified,Thailand,,False,,"Bangkok, Thailand"
Mori Arkin,2141,Israel,3,68,Healthcare,$1.4 B,pharmaceuticals,Israel,"Bachelor of Arts/Science, Tel Aviv University",True,Married,"Herzliya Pituach, Israel"
Morris Chang,1111,Taiwan,1,89,Technology,$2.8 B,semiconductors,Taiwan,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology; Ph.D, Stanford University",True,Married,"Hsinchu, Taiwan"
Morris Kahn,2674,Israel,0,91,Technology,$1 B,software,Israel,,True,Married,"Beit Yanay, Israel"
Mortimer Zuckerman,1174,United States,2,83,Real Estate,$2.7 B,"real estate, media",United States,"LLM, Harvard University; Bachelor of Arts/Science, McGill University; Master of Business Administration, University of Pennsylvania, The Wharton School",True,Divorced,"New York, New York"
Mou Jinxiang,2378,China,0,67,Manufacturing,$1.2 B,chemicals,China,,True,,"Taizhou, China"
Mu Rongjun,502,China,0,41,Technology,$5.5 B,e-commerce,China,"Bachelor of Engineering, Tsinghua University; Master, Tsinghua University",True,,"Beijing, China"
Mukand Lal Dua,2674,India,3,72,Fashion & Retail,$1 B,footwear,India,,True,Married,"Delhi, India"
Mukesh Ambani,10,India,3,63,Diversified,$84.5 B,diversified,India,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",False,Married,"Mumbai, India"
Muneaki Masuda,2378,Japan,2,70,Fashion & Retail,$1.2 B,retail,Japan,"Bachelor of Arts/Science, Doshisha University",True,Married,"Osaka, Japan"
Murali Divi & family,384,India,2,70,Healthcare,$6.8 B,pharmaceuticals,India,,True,Married,"Hyderabad, India"
Murat Ulker,421,Turkey,3,62,Food & Beverage,$6.3 B,food,Turkey,"Bachelor of Arts/Science, Bogazici University",False,Married,"Istanbul, Turkey"
Murat Vargi,2674,Turkey,2,73,Telecom,$1 B,telecom,Turkey,,True,Married,"Istanbul, Turkey"
Murdaya Poo,2378,Indonesia,4,80,Diversified,$1.2 B,diversified,Indonesia,,False,Married,"Jakarta, Indonesia"
